artifact_id,node_id,cache_row_id,source_url,canonical_url,title,filter_status,filter_reason,distilled_summary,confidence,report_section
A01,N00,CQ01,https://plato.stanford.edu/entries/self-consciousness/,https://plato.stanford.edu/entries/self-consciousness/,Self-Consciousness - Stanford Encyclopedia of Philosophy,keep,Useful philosophical baseline for what counts as self-consciousness,自己意識は単なる自己対象の知覚ではなく「自分を自分として」把握する働きだという基準を与える。,high,Distilled Findings
A02,N00,CQ02,https://plato.stanford.edu/entries/self-consciousness-phenomenological/,https://plato.stanford.edu/entries/self-consciousness-phenomenological/,Phenomenological Approaches to Self-Consciousness,keep,Directly distinguishes lived self-awareness from specular recognition,現象学では自己意識は鏡像認識より前にある前反省的な自己経験として捉えられ自己を鏡像へ還元しない。,high,Distilled Findings
A03,N01,CQ03,https://newleftreview.org/issues/i51/articles/jacques-lacan-the-mirror-phase-as-formative-of-the-function-of-the-i.pdf,https://newleftreview.org/issues/i51/articles/jacques-lacan-the-mirror-phase-as-formative-of-the-function-of-the-i.pdf,"Jacques Lacan, The Mirror-Phase as Formative of the Function of the I",keep,Primary text for the psychoanalytic mirror thesis,ラカンでは鏡像は統一的な「私」を与えるが同時に外部像への同一化として自己疎外も生む。,high,Distilled Findings
A04,N01,CQ04,https://www.nosubject.com/Mirror_stage,https://www.nosubject.com/Mirror_stage,Mirror stage - No Subject - Encyclopedia of Lacanian Psychoanalysis,drop,Duplicate support row for Lacan already covered by a stronger primary text,,low,Deferred Paths
A05,N02,CQ05,https://onlinelibrary.wiley.com/doi/10.1002/dev.420170104,https://onlinelibrary.wiley.com/doi/10.1002/dev.420170104,The development of self-recognition: A review,keep,Strong developmental-psychology anchor for mirror recognition research,発達心理学では鏡像自己認識は乳児の鏡反応や mark test によって操作化され自己形成の一指標として扱われる。,medium,Distilled Findings
A06,N02,CQ06,https://www.ovid.com/journals/pctrp/pdf/10.1037/cns0000270~implications-of-mirror-self-recognition-for-self-awareness,https://www.ovid.com/journals/pctrp/pdf/10.1037/cns0000270~implications-of-mirror-self-recognition-for-self-awareness,Implications of Mirror Self-Recognition for Self-Awareness,keep,Adds an important caution against overreading mirror tests,近年の議論では鏡像自己認識は内省的な自己理解全体ではなく主に身体的または客体的な自己把握を示すとされる。,medium,Distilled Findings
A07,N03,CQ07,https://link.springer.com/article/10.1007/s12138-024-00682-0,https://link.springer.com/article/10.1007/s12138-024-00682-0,Metaphorical Mirrors: Aesthetic Reflections from Plato to Nietzsche (and Beyond),keep,Strong aesthetics source showing the historical mobility of mirror metaphors,美学史では鏡は固定した象徴ではなく表象と自己像をめぐって意味を変え続ける動的なメタファーとして働く。,medium,Distilled Findings
A08,N03,CQ08,https://portal.lvc.edu/vhr/2012/Articles/hermes.pdf,https://portal.lvc.edu/vhr/2012/Articles/hermes.pdf,Reflections in Contemporary Feminist Literature,keep,Useful literary angle that reframes mirrors beyond vanity,現代フェミニズム文学では鏡は虚栄の道具ではなく統一的主体の不安定さを露出させる装置として読まれる。,medium,Distilled Findings
A09,N04,CQ09,https://web.mit.edu/allanmc/www/winnicott2.pdf,https://web.mit.edu/allanmc/www/winnicott2.pdf,Mirror-role of Mother and Family in Child Development,keep,Primary source that shifts the mirror from object to relation,ウィニコットは最初の鏡をガラスではなく養育者の顔に置き自己形成を関係的かつ環境的な出来事として描く。,high,Distilled Findings
A10,N04,CQ10,https://cris.brighton.ac.uk/ws/files/5037786/Modernity_Alienation_and_the_Mirror_in_the_Work_of_Lacan_and_Winnicott.pdf,https://cris.brighton.ac.uk/ws/files/5037786/Modernity_Alienation_and_the_Mirror_in_the_Work_of_Lacan_and_Winnicott.pdf,Modernity Alienation and the Mirror in the Work of Lacan and Winnicott,keep,Useful bridge source but secondary to the primary texts,ラカンとウィニコットを並べると鏡は自己統一の装置であると同時に疎外や真正性の問題を露出する比較軸になる。,provisional,Provisional Items
