cache_row_id,node_id,query_text,provider,rank,url,title,snippet,retrieved_at
CQ01,N00,self-consciousness mirror recognition philosophy,exa,1,https://plato.stanford.edu/entries/self-consciousness/,Self-Consciousness - Stanford Encyclopedia of Philosophy,"Self-consciousness is awareness of oneself as oneself, not merely awareness of something that happens to be oneself.",2026-03-09T19:17:29Z
CQ02,N00,self-consciousness mirror recognition philosophy,exa,2,https://plato.stanford.edu/entries/self-consciousness-phenomenological/,Phenomenological Approaches to Self-Consciousness,"Phenomenology distinguishes prereflective self-consciousness from mirror recognition and self-narrative.",2026-03-09T19:17:29Z
CQ03,N01,Lacan mirror stage ego formation self image primary text,exa,1,https://newleftreview.org/issues/i51/articles/jacques-lacan-the-mirror-phase-as-formative-of-the-function-of-the-i.pdf,"Jacques Lacan, The Mirror-Phase as Formative of the Function of the I","Lacan presents the mirror-phase as formative of the I and opposes philosophies derived directly from the cogito.",2026-03-09T19:17:29Z
CQ04,N01,Lacan mirror stage ego formation self image primary text,exa,2,https://www.nosubject.com/Mirror_stage,Mirror stage - No Subject - Encyclopedia of Lacanian Psychoanalysis,"Encyclopedia entry lists key concepts such as imaginary order, ideal ego, misrecognition, and alienation.",2026-03-09T19:17:29Z
CQ05,N02,mirror self-recognition psychology self identity review,exa,1,https://onlinelibrary.wiley.com/doi/10.1002/dev.420170104,The development of self-recognition: A review,"The mark test and infants' responses to reflections are central methods in developmental research on self-recognition.",2026-03-09T19:17:29Z
CQ06,N02,mirror self-recognition psychology self identity review,exa,2,https://www.ovid.com/journals/pctrp/pdf/10.1037/cns0000270~implications-of-mirror-self-recognition-for-self-awareness,Implications of Mirror Self-Recognition for Self-Awareness,"Morin argues that mirror self-recognition indicates bodily awareness more than introspective private self-awareness.",2026-03-09T19:17:29Z
CQ07,N03,mirror symbolism selfhood literature art criticism,exa,1,https://link.springer.com/article/10.1007/s12138-024-00682-0,Metaphorical Mirrors: Aesthetic Reflections from Plato to Nietzsche (and Beyond),"Explores mirror metaphors from Plato to Nietzsche and treats mirror figures as dynamic rather than fixed.",2026-03-09T19:17:29Z
CQ08,N03,mirror symbolism selfhood literature art criticism,exa,2,https://portal.lvc.edu/vhr/2012/Articles/hermes.pdf,Reflections in Contemporary Feminist Literature,"Contemporary feminist literature uses mirror imagery to destabilize the idea of an integral self.",2026-03-09T19:17:29Z
CQ09,N04,Winnicott mirror-role of mother child development mirror,exa,1,https://web.mit.edu/allanmc/www/winnicott2.pdf,Mirror-role of Mother and Family in Child Development,"The precursor of the mirror is the mother's face; mirroring is environmental before it is optical.",2026-03-09T19:17:29Z
CQ10,N04,Winnicott mirror-role of mother child development mirror,exa,2,https://cris.brighton.ac.uk/ws/files/5037786/Modernity_Alienation_and_the_Mirror_in_the_Work_of_Lacan_and_Winnicott.pdf,Modernity Alienation and the Mirror in the Work of Lacan and Winnicott,"Compares Lacan and Winnicott as psychosocial theorists of alienation and the mirror.",2026-03-09T19:17:29Z
